gen	arc	test_reward
20	0-3-k3|0-3-k3|5-17-k7|11-18-k5|13-24-k5|11-21-k5|8-14-k5	0.7783472901812207
20	0-3-k3|0-3-k3|12-19-k5|10-25-k5|18-29-k3|13-21-k7|3-12-k1	0.8044408709032407
20	0-3-k3|0-3-k3|4-12-k7|8-17-k1|19-33-k3|11-19-k3|13-25-k5	0.795546864681415
20	0-3-k3|0-3-k3|4-18-k7|7-21-k3|13-28-k3|12-23-k5|0-5-k5	0.7922868020414829
20	0-3-k3|0-3-k3|5-20-k7|7-14-k5|17-28-k5|11-21-k5|3-17-k3	0.8018543724848477
20	0-3-k3|0-3-k3|4-13-k5|10-21-k3|20-31-k1|16-26-k5|7-12-k5	0.773912906266132
21	0-3-k3|0-3-k3|13-27-k7|11-20-k1|19-30-k5|15-27-k7|8-17-k5	0.7024382571121588
21	0-3-k3|0-3-k3|8-16-k5|10-19-k3|20-31-k3|11-17-k5|10-22-k1	0.4114597532148675
21	0-3-k3|0-3-k3|4-19-k7|7-22-k3|17-27-k1|11-16-k5|4-14-k5	0.7855929770768963
21	0-3-k3|0-3-k3|3-18-k5|3-11-k1|20-27-k3|18-28-k5|17-24-k5	0.8256650980398623
21	0-3-k3|0-3-k3|5-20-k3|6-21-k3|12-27-k3|14-24-k5|12-15-k5	0.7707346618376888
21	0-3-k3|0-3-k3|4-13-k7|11-20-k3|19-30-k5|20-27-k5|4-13-k5	0.7794602111063662
21	0-3-k3|0-3-k3|11-22-k5|6-13-k1|13-24-k1|11-21-k3|4-13-k5	0.7388278164972397
21	0-3-k3|0-3-k3|9-24-k5|11-16-k3|20-27-k3|20-33-k5|12-14-k1	0.6797881933169907
21	0-3-k3|0-3-k3|4-16-k5|7-14-k3|10-15-k3|11-18-k7|4-12-k3	0.7339951977253902
21	0-3-k3|0-3-k3|5-11-k5|11-20-k5|19-33-k3|11-21-k5|4-13-k7	0.7587782936254686
22	0-3-k3|0-3-k3|7-18-k5|13-22-k3|14-26-k1|19-29-k1|4-8-k5	0.77768967653072
22	0-3-k3|0-3-k3|5-20-k5|11-26-k1|17-28-k1|11-21-k5|11-19-k5	0.7674917122837871
22	0-3-k3|0-3-k3|13-28-k3|13-23-k1|13-27-k1|10-15-k7|10-23-k7	0.6729153554900813
22	0-3-k3|0-3-k3|4-18-k5|11-26-k1|19-27-k5|12-23-k7|12-21-k1	0.6323608263731295
22	0-3-k3|0-3-k3|12-27-k5|13-28-k5|20-35-k1|20-28-k5|8-17-k1	0.6981460173065357
22	0-3-k3|0-3-k3|5-18-k5|3-12-k5|17-28-k5|18-33-k7|7-15-k1	0.8118715731204765
22	0-3-k3|0-3-k3|5-16-k7|4-19-k1|18-23-k5|15-29-k5|5-7-k5	0.7985134175799402
22	0-3-k3|0-3-k3|4-18-k5|8-22-k3|15-26-k1|20-33-k7|4-11-k1	0.7866349541311161
22	0-3-k3|0-3-k3|4-13-k5|7-15-k3|20-30-k3|12-21-k7|4-15-k5	0.7829265743143435
22	0-3-k3|0-3-k3|7-12-k5|7-22-k3|19-33-k1|11-20-k5|8-17-k5	0.7045930611373595
23	0-3-k3|0-3-k3|4-13-k5|9-17-k3|13-27-k3|15-27-k7|1-9-k7	0.7982770438704209
23	0-3-k3|0-3-k3|13-28-k5|6-15-k5|15-30-k5|15-24-k7|8-13-k5	0.7334812930477991
